序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
2069,002256,兆新股份,4.87,7.5055,1,0,20387689.66,13188376.0,7199313.66,2262534423,0.318196867496,25.4421,95.02,日振幅值达到15%的前5只证券,2026-03-24
2070,920088,科力股份,80.28,-9.2163,1,0,17086783.07,9933190.46,7153592.61,1105665700,0.646994169214,40.9768,25.51,当日换手率达到20%的前5只股票,2026-03-05
2071,002047,宝鹰股份,4.42,4.9881,2,0,12013678.0,4875027.84,7138650.16,416039901,1.715857095159,1.844,67.01,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2026-01-19
2072,603359,*ST东珠,7.9,-10.0228,1,0,7098202.0,0.0,7098202.0,540648331,1.312905560417,15.2934,35.24,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-01-13
2073,688287,退市观典,1.36,-8.7248,2,2,82132200.0,75039600.0,7092600.0,472961900,1.499613393806,5.8365,5.04,有价格涨跌幅限制的连续30个交易日内收盘价格跌幅偏离值累计达到-70%的证券,2026-04-13
2074,920021,流金科技,15.24,-0.5871,1,1,28730732.85,21681797.69,7048935.16,849052900,0.830211540412,23.6497,35.49,当日换手率达到20%的前5只股票,2026-02-12
2075,300204,舒泰神,27.76,20.0173,1,4,107446154.37,100460704.56,6985449.81,1441607885,0.484559628362,12.2828,125.9,日涨幅达到15%的前5只证券,2026-03-27
2076,300798,锦鸡股份,13.42,20.0358,4,3,137739251.41,130796536.02,6942715.39,1806032351,0.384418107802,21.4125,51.19,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-04-16
2077,920125,鸿仕达,67.08,30.0,1,0,12919193.77,5982404.49,6936789.28,462415200,1.500121380093,46.7449,11.06,当日换手率达到20%的前5只股票,2026-04-29
2078,920125,鸿仕达,67.08,30.0,1,0,12919193.77,5982404.49,6936789.28,462415200,1.500121380093,46.7449,11.06,当日收盘价涨幅达到20%的前5只股票,2026-04-29
2079,920125,鸿仕达,67.08,30.0,1,0,12919193.77,5982404.49,6936789.28,462415200,1.500121380093,46.7449,11.06,当日价格振幅达到30%的前5只股票,2026-04-29
2080,300051,琏升科技,11.12,19.9569,3,3,66845717.0,59917244.0,6928473.0,668063378,1.03709815987,17.5571,40.86,日涨幅达到15%的前5只证券,2026-03-16
2081,301028,鼎熔岩,17.75,20.0135,1,0,11682044.75,4777228.0,6904816.75,610451172,1.131100580474,14.8303,44.08,日涨幅达到15%的前5只证券,2026-05-08
2082,600748,上实发展,6.03,10.0365,1,0,6869360.0,0.0,6869360.0,235816463,2.913011209061,2.1506,111.23,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2026-05-11
2083,300905,宝丽迪,67.02,20.0,3,2,106769861.06,99918979.7,6850881.36,2492451361,0.27486519766,5.5852,93.59,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-04-28
2084,002952,亚世光电,26.13,-1.3962,3,1,25147108.0,18360024.0,6787084.0,642052106,1.05709239742,18.6092,34.4,日振幅值达到15%的前5只证券,2026-03-06
2085,300291,百纳千成,6.71,20.0358,0,3,25536892.24,18778327.0,6758565.24,487683803,1.385849847468,8.1656,62.39,日涨幅达到15%的前5只证券,2026-05-27
2086,002175,*ST东智,2.89,9.8859,1,1,21212531.4,14500021.4,6712510.0,678188151,0.989771052488,9.4904,36.9,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-04-28
2087,301177,迪阿股份,38.76,20.0,1,0,8789315.0,2092455.0,6696860.0,423924959,1.57972769893,2.938,155.04,日涨幅达到15%的前5只证券,2026-01-28
